name,introduction,url
我的投资时代,　　夏景行在弥留之际，回忆起那个踏上异国他乡的年轻背影。他当时想啊，如果岁月可以重来，自己绝对不会辜负这水大鱼大的激荡二,https://www.bige7.com/book/1853/
透视小邪医林枫钟恩柔,捉奸不成反被打，机缘巧合获传承，魔瞳神眼掌阴阳，玄功大成俯苍生。赌石捡漏富敌国，妙手圣医扬天下，且看林枫如何逆天崛起，与,https://www.bige7.com/book/19361/
医妻三嫁,苏凉穿越后，嫁给同一个男人，三次。第一次，只是交易。第二次，还是交易。第三次，又是……“事不过三，我们假戏真做吧。”顾泠,https://www.bige7.com/book/33782/
都市超级医圣叶辰夏若雪孙怡,【火爆爽文】“古武者？地狱归来？华夏第一人？我惹不起？不好意思，在我面前，都要跪下！”五年前，家族覆灭，废物叶辰犹如地上,https://www.bige7.com/book/18049/
嗜血狂龙叶辰夏若雪孙怡,【火爆爽文】“古武者？地狱归来？华夏第一人？我惹不起？不好意思，在我面前，都要跪下！”五年前，家族覆灭，废物叶辰犹如地上,https://www.bige7.com/book/18026/
重生1977年从知青开始,钱脏吗？不脏！——南·亚当斯密·易故事要从1977年，开往宝安的知青列车开始说起……他是个简单的人，只关心粮食和蔬菜；他,https://www.bige7.com/book/8401/
鉴宝金瞳,父亲得了重病，巨额医药费让古玩店学徒杨波压力巨大，因为善心偶得琉璃石，让他拥有一双鉴宝金瞳，且看他如何鉴宝捡漏，颠覆命运,https://www.bige7.com/book/1431/
鉴宝从文物修复开始,一场意外，让赵御觉醒了掌中神目。掌中神目，回溯过往，不论是任何古玩，在他的手中都能看出真假。哪怕是已经碎裂的古玩，在他的,https://www.bige7.com/book/21762/
都市极品医神（叶辰夏若雪孙怡）,【火爆爽文】“古武者？地狱归来？华夏第一人？我惹不起？不好意思，在我面前，都要跪下！”五年前，家族覆灭，废物叶辰犹如地上,https://www.bige7.com/book/30837/
王者战婿,战神归来，发现女儿被欺，生命垂危，妻子却和别的男人在酒店……王者战婿最新章节地址：,https://www.bige7.com/book/41121/
穿书后反派把我带歪了,赵荟蔚穿到一本自己连连吐槽的古早言情狗血文里，成了里面为了救大反派而死的女炮灰。剧情从头再来，赵荟蔚表示她只想活着。初时,https://www.bige7.com/book/34181/
极品废少林君河楚默心,一代仙尊，惨遭背叛，死在最爱的女人手里。意外重生都市，却成为一个吸毒的弃少。本想潜心修炼，重回一世之巅，九天十地唯我独尊,https://www.bige7.com/book/18532/
陈平江婉36888,“不行啊，不努力就要回去继承万亿家产了。”陈平作为顶级豪门继承者，为此很烦恼。报复曾经羞辱自己的仇人，真爽！,https://www.bige7.com/book/16127/
叶辰夏若雪小说名字,【火爆爽文】“古武者？地狱归来？华夏第一人？我惹不起？不好意思，在我面前，都要跪下！”五年前，家族覆灭，废物叶辰犹如地上,https://www.bige7.com/book/18031/
鬼医神帝重生归来叶辰夏若雪孙怡,【火爆爽文】“古武者？地狱归来？华夏第一人？我惹不起？不好意思，在我面前，都要跪下！”五年前，家族覆灭，废物叶辰犹如地上,https://www.bige7.com/book/18001/
妖孽修真弃少叶辰顾梦瑶,叶辰，本为一代天骄，却在十岁生日之时被家族归为罪人，后废除身份，还被亲生父亲弃之荒野，任其自生自灭！八年之后，一代天骄再,https://www.bige7.com/book/4717/
老祖宗她是真的狂,作为一个演技在线，却死活红不起来的三四线小明星宋慈有什么愿望？宋慈说：成为巨有钱混喝等死的漂亮姑娘。老天爷大发慈悲，给她,https://www.bige7.com/book/16044/
叶辰顾梦瑶,叶辰，本为一代天骄，却在十岁生日之时被家族归为罪人，后废除身份，还被亲生父亲弃之荒野，任其自生自灭！八年之后，一代天骄再,https://www.bige7.com/book/27449/
超品医圣叶辰夏若雪孙怡,【火爆爽文】“古武者？地狱归来？华夏第一人？我惹不起？不好意思，在我面前，都要跪下！”五年前，家族覆灭，废物叶辰犹如地上,https://www.bige7.com/book/18077/
王毅詹姆斯,在NBA流浪两年的王毅，在与湖人10天短合同的最后一天，突然获得超神三分体验卡，从此开启了一代超级巨星的传奇之旅。库里：,https://www.bige7.com/book/58231/
谍战之王,1936年七月，徐志坚从黄埔军校毕业入特务处，此后潜伏金陵的日谍组织接连被破获，导致在南京地区整个情报网瘫痪。从此，他是,https://www.bige7.com/book/40419/
