name,introduction,url
我从末世开始无敌,　　【无敌爽文】200年后的末世时代。林星海获得系统，横行末世，碾压一切敌。碾压一时爽，一直碾压一直爽。叮！获得血气之力,https://www.bige7.com/book/1264/
召唤玩家，重建大魏,召唤玩家，重建大魏简介：召唤玩家，重建大魏情节跌宕起伏、扣人心弦，是一本情节与文笔俱佳的科幻小说。,https://www.bige7.com/book/49452/
诸天大造化,开局穿越到功夫世界，成为了倒霉二当家？即将面临着被猪笼城寨苦力强一脚踢废的悲剧下场。林昊欲哭无泪，这尼玛太坑爹了。“叮咚,https://www.bige7.com/book/23364/
拜师四目道长,　　四目道长：“徒儿，赶尸之道，为师已经全传给你了！”　　齐漱溟：“徐君明，我蜀山与你势不两立！”　　孙悟空：“大哥，王,https://www.bige7.com/book/1221/
我在SCP当仓管,项目编号：SCPX绝密项目等级：Keter描述：SCPX是一个人形生物，自称张珏，来自于平行宇宙，具有不受大多数SCP项,https://www.bige7.com/book/57366/
快穿异世逃生指南,一次迷路，让林洛卷入了一个又一个危险的异世空间，还意外地获得了几个宝贝。是真的宝贝，因为他们，她们，它们（额，该用哪个t,https://www.bige7.com/book/58463/
从白蛇开始诸天改命,李成玉穿越北宋，凭借现代医术成了方圆百里有名的“小神医”。直到有一天系统突然激活，向他发布了改变白素贞命运的任务。,https://www.bige7.com/book/9097/
诸天之我是沙悟净,　　骆天明本是个农民工，穿越后的身份也和农民工类似，成了挑担子的沙悟净。好在天无绝人之路，他还有个穿越者的标配&mdas,https://www.bige7.com/book/2997/
苟在史前两亿年,作者：宅之味3所写的《苟在史前两亿年》无弹窗免费全文阅读为转载作品章节由小兵网友发布。推荐地址：扫描下方二维码，手机免费,https://www.bige7.com/book/7155/
我绑架了一个外星文明,无尽虚空之中有着什么诡异的存在？神秘的宇宙文明法则又限制了什么？我从神秘灰雾中带着学习辅助系统醒来，探寻未解的谜题，这是,https://www.bige7.com/book/13986/
末世神魔录黄裳季泽磊,何为末世？丧尸？魔怪？虫族？不！唯有当人类所恐惧的，所崇拜的，甚至是所幻想的一切都成为现实之时，才是人类真正的末日！灵气,https://www.bige7.com/book/18203/
开局从垂钓开始,开局一根杆，一切全靠钓。垂钓功法，为毛是本体修功法，我想修炼剑仙啊！咦，体修功法好像有点强，那先练着吧！垂钓：获得T病毒,https://www.bige7.com/book/24354/
求道诸天：自玄黄开始,漫漫诸天，求道永生。从永生开始，洛姜凭借一钓竿，穿梭诸天，从而得证永生位。“我为太上仙，三清境内有吾名！”主世界：永生穿,https://www.bige7.com/book/15233/
复活帝国,　　【简介一】反派：“神经病吧！你为什么要杀我？”　　任重：“因为我在半个月后被你杀了。”　　反派：“？？？？？”　　临,https://www.bige7.com/book/4823/
