name,introduction,url
重生异界三皇子叶君,重生异界三皇子叶君全文免费阅读由小兵提供。《重生异界三皇子叶君》梵如风著情节跌宕起伏、扣人心弦，是一本情节与文笔俱佳的热,https://www.bige7.com/book/42905/
三国从救曹操长子开始,历史系学生丁辰穿越到后汉三国时代的宛城，眼看曹军就要大败，曹昂即将被杀。怎么办？在线等，挺急的……,https://www.bige7.com/book/11538/
三国之巅峰召唤,　　看惯了老套的三国争霸，现在来点不一样的。　　东明、西唐、南汉、北元、中宋……　　项羽大战五虎上将，张良智斗鬼谷子，白,https://www.bige7.com/book/36/
我在大唐卖烧烤,意外穿越到了大唐，我干起了老本行卖烧烤，生意惨淡，受人欺凌，直到有一天......Q群422507262,https://www.bige7.com/book/3416/
抗日之幽灵,简介：卫平穿越至硝烟弥漫的抗日战场之上，凭借着高超的战斗力和战术素养，乐文小说网他训练出一支号称幽灵的特种部队，背负着一,https://www.bige7.com/book/9737/
斐潜,没有系统，没有老爷爷，没有推土机，没有集邮癖，只有一个小职员，无财无权无势，一步步的在三国各路牛人间披荆斩棘！枭雄还是英,https://www.bige7.com/book/21903/
从我是特种兵开始嘲讽成神,　　      【日更1万，轻松无敌爽文！】 穿越特种兵，获得神级嘲讽系统。只要嘲讽别人，就能一路变强！……嘲讽龙小云是,https://www.bige7.com/book/3133/
抗战之关山重重,老哲写实风格抗战新书“我们一定会回来的！”有军官对手下数千名官兵说。可是自打他们出关以后，侵略者强大，国尚危急，家又何安,https://www.bige7.com/book/10760/
荡宋,他是武力与智慧的统一体他是东南大地的传奇他在各种身份中自由地切换他是北宋王朝最后的排面他代表着自由浪漫还有一点扯淡回到北,https://www.bige7.com/book/40887/
大叛贼,　　辛亥革命一声炮响震动九州，满清应声而倒 ……　　不对！等等！这是康熙朝？老天你玩我是吧？,https://www.bige7.com/book/1064/
逆流启明,又名大明再起，万里江山岂容建奴践踏？,https://www.bige7.com/book/15788/
抗战之超级山寨工厂txt,军事发烧友高寒意外获得了超强战力，他穿越抗日战争年代，成为了占山为王的土匪，专劫鬼子汉奸，要钱也要命，被称为最牛路霸。,https://www.bige7.com/book/48744/
林松郭小玉,龙之利刃，为国为民，死而后已。血海深仇，神秘龙牙，离奇身世。山林少年林松，遭遇巨变，怀揣龙牙军刀走出大山。一人，一狼，参,https://www.bige7.com/book/27037/
我大明武德充沛但选择文化胜利,　　本书又名《反向入关学的创始者，美洲真正的主人，殷人的救世主，欧罗巴的噩梦，东方文明的最高领袖，第四大明帝国的皇帝，五,https://www.bige7.com/book/2555/
大明合伙人,　　一个偶然的机会，走投无路的沈浪发现自家的仓库居然连接大明皇宫，于是便与大明末代皇帝崇祯有了跨越时空的交际。差点砍了这,https://www.bige7.com/book/3127/
寒门仕子,齐誉，一个穷书生，经商没本钱，致富没门路，只得依靠科举谋求出路。一路走下去，去争做那个笑到最后的人。直到有一天，国家内忧,https://www.bige7.com/book/43116/
我在大唐能签到,林轩意外魂穿大唐，携带签到系统，从此混的风生水起。“叮，签到成功，获得老坛酸菜面一箱。”“叮，签到成功，获得洗发水一瓶。,https://www.bige7.com/book/23732/
特种兵：开局召唤141特遣队,搜小说免费提供作者大秦荣耀的经典小说：《特种兵：开局召唤141特遣队》最新章节全文阅读服务本站更新及时无弹窗广告欢迎光临,https://www.bige7.com/book/23420/
从鬼灭开始的天灾,内容介绍：苏醒在鬼灭之刃的世界，还成为了‘屑师兄’狯岳！既然他变成了狯岳，那他一定要改变所有！已经无法改变的他管不了，但,https://www.bige7.com/book/15041/
三国之小君子,　　首先这不是一部黑刘备的小说。其次一定要看前言，要不然有几个地方你们一定会感觉到是我不懂历史的。总体来说....这是一,https://www.bige7.com/book/3442/
我真没想当皇帝啊,　　我是叶君。　　重生异世夏国，成了夏国三皇子。　　我真没想当皇帝啊。　　奈何实力不允许。　　我太难了！　　普通群：66,https://www.bige7.com/book/2442/
大明王朝1587,　　万历十五，海瑞已死，戚继光病退，张居正一党已被悉数逐斥，申时行正任内阁首辅，李成梁在辽东战战兢兢；努尔哈赤在建州老营,https://www.bige7.com/book/2520/
三国从忽悠刘备开始,　　汉灵帝西园租官，要不要租？租！当然租！因为只要恰好租到灵帝驾崩前的最后一个任期，就等于直接租房租成了房东！租官租成了,https://www.bige7.com/book/1917/
我的意呆利,如果说两次世界大战是一场人类的浩劫的话，那么意大利就是这场浩劫中不多的笑料，让这场残酷的战争多了一丝轻松的意味。不过现在,https://www.bige7.com/book/23070/
叶君楚倾城穿越成三皇子笔趣阁,叶君楚倾城穿越成三皇子笔趣阁全文免费阅读由小兵提供。《叶君楚倾城穿越成三皇子笔趣阁》叶君楚倾城著情节跌宕起伏、扣人心弦，,https://www.bige7.com/book/39855/
新顺1730,　　假如明亡后是一个汉人王朝，会是怎样？　　刘钰穿越后，发现自己来到的，是个历史拐点下的王朝大顺。　　起步就是公爵之子，,https://www.bige7.com/book/3011/
寒门崛起,　　这是一个就业路上屡被蹂躏的古汉语专业研究生，回到了明朝中叶，进入了山村一家幼童身体后的故事。　　木讷父亲泼辣娘，一水,https://www.bige7.com/book/589/
陈凡李云龙,陈凡：李团长，收购坂田信哲，死活不论，三十吨武器弹药。,https://www.bige7.com/book/26997/
谍云重重,　　当发现自己双手沾满了鲜血，怎么办，在线急！当发现自己前身是一个绝对的极品渣人，怎么办，还是急！这是一个自我救赎，一个,https://www.bige7.com/book/3472/
我娘子天下第一,　　柳父：“志儿，去读书吧。”　　柳明志：“我，江南首富长子万贯家财，开玩笑吗？不去，打死都不去。”　　柳父：“管家，取,https://www.bige7.com/book/333/
大明完美暴君,萨尔浒惨败，辽军畏敌如虎，辽东岌岌可危。穿越而来的朱由校立志要做太祖皇帝那样杀伐果断、整顿吏治的狠人。更要学习成祖之风，,https://www.bige7.com/book/28371/
奥特曼开局获得神级卡牌系统,夏龙穿越泽塔奥特曼的世界，获得超神卡片系统，变身帝骑。只要完成任务获得奖励，就能获得拥有特殊力量的卡牌。“哎，奥特曼世界,https://www.bige7.com/book/33034/
大国重坦,为了给父亲正名，秦振华来到了一机厂，从此开始了一段崭新的人生，修坦克，改炮管，造发动机，搞外贸，在那个特殊的年代，一步步,https://www.bige7.com/book/9676/
大秦铁骑,国家衰落，从来不是外族之祸；朝堂之乱，才是国乱根本。一个华夏第一特种兵，从战死他乡到穿越异界，成为大武帝国的六皇子，但显,https://www.bige7.com/book/37653/
蝉动,私家侦探左重回到过去，战斗在敌人的心脏，外号笑面虎，擅长背后一刀，精通玉座金佛原理，斯蒂庞克定式。,https://www.bige7.com/book/7404/
天唐锦绣,　　穿越是一件很有意思的事儿，但是当房俊穿越到那位浑身冒着绿油油光芒的唐朝同名前辈身上，就感觉生活全都不好了……,https://www.bige7.com/book/627/
晋末多少事,严肃版：末晋时节，烽火漫天。杜陵杜氏庶子杜英学成下山，正逢桓温北伐，天下局势风起云涌、动荡不休。试问晋末多少事，安能都付,https://www.bige7.com/book/24876/
公子凶猛," 有幸穿越了，还是生在地主家，此生不缺吃穿却也不想混吃等死，所以傅小官随意的做了些事情，没料到产生的影响如此巨大。
皇帝",https://www.bige7.com/book/2494/
回到民国当医生,外科医生江来未曾料到自己会回到波澜壮阔的年代。可他拿不了枪杆子，只能拿起手术刀，于是，同仁医院的江医生成了那个时代医疗水,https://www.bige7.com/book/7648/
蜀汉之庄稼汉,　　这里讲的是一个平凡的苦逼在乱世三国里苦苦挣扎，努力种田的故事。,https://www.bige7.com/book/231/
猎谍,间谍是一个非常古老的职业，从有战争开始的那一天起，间谍便是交战双方获取对方情报的唯一选择。有人说，间谍战是这个世界上唯一,https://www.bige7.com/book/6983/
回到三国战五胡,当三国演义里的撒豆成兵成了真，当豪桀纵横、熊据虎跱的三国争霸时代，撞上‘五胡’入侵，将会谱写一曲怎样可歌可泣的英雄史？最,https://www.bige7.com/book/22537/
小阁老,　　站在你面前的是：大明王朝的守护者，万历皇帝的亲密战友，内阁首辅的好儿子，十六、十七世纪全球首富。控制吏部三十年的幕后,https://www.bige7.com/book/309/
三国从单骑入荆州开始,　　“生子当如孙仲谋，刘景升儿子若豚犬尔。”初平元年，被曹操称为猪狗儿的刘琦站在宜城的大门外，替他父亲刘表走进了荆州。如,https://www.bige7.com/book/4800/
我是御史，开局痛斥女帝,我是御史，开局痛斥女帝简介：我是御史，开局痛斥女帝情节跌宕起伏、扣人心弦，是一本情节与文笔俱佳的历史军事。,https://www.bige7.com/book/11444/
昭周,　　林昭带着上辈子的记忆，在东湖镇再世为人，然而他面对的处境却并不是十分乐观。一个苛刻的大母，把母子二人压的喘不过气来。,https://www.bige7.com/book/1845/
南宋游记,后世特种兵杜雨晖灵魂意外的穿越到了南宋初年6岁同名孩子的身上，善钓鱼、懂医术、棋艺精湛、因岁数太小唯有通过跟爹娘配合，以,https://www.bige7.com/book/12857/
大明最狠一个山贼,皇太极目光阴冷地望向西南方向，恨恨说道：“我大清将士纵横千里才抢来的钱粮，竟被姓秦那蟊贼反手就抢了去，此贼不除，天下难靖,https://www.bige7.com/book/24004/
从我是特种兵开始一键回收,　　外卖小哥秦渊获得一键回收系统，放进去的物品，可以为自身提供相关的属性和能力！　　放入枪法，获得巅峰枪法，出神入化！放,https://www.bige7.com/book/3180/
秦时小说家,　　（大国记·秦时明月征文金奖作品）　　这里有天下寥寥、苍生涂涂的纵横家！　　这里有修身、齐家、治国、平天下的儒家！　　,https://www.bige7.com/book/3230/
带个地道系统打鬼子,李桓，穿越到抗战年代，意外获得了挖地道的系统，“叮，恭喜完成打检查站的任务，获得四倍镜一个！”“叮，恭喜完成协助主力歼灭,https://www.bige7.com/book/11382/
九叔系列：老子是石坚,我真是石坚，会闪电奔雷拳那个石坚，茅山大师兄。PS：九叔、灵异港片、僵尸道长、我和僵尸有个约会综合世界,https://www.bige7.com/book/9001/
数风流人物,　　瑞根晚明+红楼半架空历史官场养成文，绝对够味！　　大周永隆二年。盛世隐忧。　　四王八公鲜花着锦，文臣武将烈火烹油。　,https://www.bige7.com/book/471/
三国之吕布是我爹吕熙,一朝穿越，回到三国时期！吕熙悲催地发现，吕布居然是他爹！而现在，这位倍儿秀的老爹，正打算刺杀丁原，投效董卓面对岔路口的选,https://www.bige7.com/book/32217/
大明流匪,　　【火爆历史书】大明1619年，萨尔浒之战，杜松兵败后一伙败军逃兵逃离了辽东，逃进关内，一路向西…… 穿越而来的刘恒成,https://www.bige7.com/book/1040/
