name,introduction,url
跟乔爷撒个娇乔斯年,京城出了大新闻：乔爷养了十二年的小媳妇跑了，跑了！连儿子都不要了！一时间流言四起：听说是乔爷腹黑又高冷、婚后生活不和谐；,https://www.bige7.com/book/21193/
战神杨辰回归都市,五年前，为了能让自己配得上她，他不辞而别。五年后，他携一身惊天本领，荣耀而归，只是归来之时，竟发现自己多了一个女儿。各位,https://www.bige7.com/book/4501/
农女致富：腹黑夫君狂宠妻苏红珊,苏红珊一睁眼发现自己穿越到了古代，茅草屋，破院子，吃了上顿没下顿，还附赠了个壮汉子夫君和一对面黄肌瘦的儿女。可谁能告诉她,https://www.bige7.com/book/25225/
北境战神杨辰秦惜,五年前，为了能让自己配得上她，他不辞而别。五年后，他携一身惊天本领，荣耀而归，只是归来之时，竟发现自己多了一个女儿。,https://www.bige7.com/book/16351/
蜜吻999次：乔爷，抱！叶佳期乔斯年,京城出了大新闻：乔爷养了十二年的小媳妇跑了，跑了！连儿子都不要了！一时间流言四起：听说是乔爷腹黑又高冷、婚后生活不和谐；,https://www.bige7.com/book/21194/
万古第一战皇林寒,落魄的皇朝储君，被人陷害，贬为扫墓下人。意外得到始皇绝学，从此踏上至尊之路，高歌猛进，踏天而行。问苍茫大地，谁主沉浮，九,https://www.bige7.com/book/15937/
诡秘之主之倾听者,《诡秘之主》同人身为穿越者的希恩维尔来到了一个陌生的世界，绯红的月光，杂乱无章的房间，神秘的注视，源自星空的低语。一瓶喝,https://www.bige7.com/book/19200/
混吞天地,一个会算命的瞎子一个魂魄有损的少年一块神秘的石碑一场意外的相遇一段无关对错的冲突从一个边陲小镇开始,https://www.bige7.com/book/24034/
宋锦书厉卿川,继母继妹联手背叛，一场精心的设计，让宋锦书失去清白，众叛亲离。无数阴谋交织，她更是成了娱乐圈中人人喊打的过街老鼠！甚至祸,https://www.bige7.com/book/25971/
兵王回归都市杨辰,五年前，为了能让自己配得上她，他不辞而别。五年后，他携一身惊天本领，荣耀而归，只是归来之时，竟发现自己多了一个女儿。各位,https://www.bige7.com/book/4491/
叶无道徐灵儿,他本是一国神帅，却为爱退隐都市，甘为庶民。大婚之上，未婚妻却对他肆意凌辱，甚至退婚！一怒之下，他转身娶走伴娘，肃穆道：“,https://www.bige7.com/book/3626/
重生之武道复苏,武之大者，斩妖屠魔。侠之大者，为民为国。灵气复苏，全球进化。武道重生，普天同庆。,https://www.bige7.com/book/28074/
争霸万朝：开局获得赵云模板,万界崩塌，虚实合一，战国烽烟、万朝争霸。历史上早已化为尘土的英雄豪杰、百姓草民，重新降临在无垠的神州大陆之上。始皇帝嬴政,https://www.bige7.com/book/43185/
我能看见万物价值,林海，一次意外后，他发现自己的眼睛变得跟之前不太一样。他居然能看到所有事物的“价值”。运用这个特殊的能力，林海专走“价值,https://www.bige7.com/book/53602/
惹火999次：乔爷，坏！（跟乔爷撒个娇）,京城出了大新闻：乔爷养了十二年的小媳妇跑了，跑了！连儿子都不要了！一时间流言四起：听说是乔爷技术差时间短、夫妻生活不和谐,https://www.bige7.com/book/30243/
叶无道占有杨凝冰,他本是一国神帅，却为爱退隐都市，甘为庶民。大婚之上，未婚妻却对他肆意凌辱，甚至退婚！一怒之下，他转身娶走伴娘，肃穆道：“,https://www.bige7.com/book/27320/
不败战神杨辰," 五年前，为了能让自己配得上她，他不辞而别。五年后，他携一身惊天本领，荣耀而归，只是归来之时，竟发现自己多了一个女儿。
",https://www.bige7.com/book/4742/
农女致富苏红珊韩夜霖,苏红珊一睁眼发现自己穿越到了古代，茅草屋，破院子，吃了上顿没下顿，还附赠了个壮汉子夫君和一对面黄肌瘦的儿女。可谁能告诉她,https://www.bige7.com/book/15910/
