name,introduction,url
我师父是个bug,方牧身为苍琅界的顶级修士，最近却有些闹心。因为他新收的徒弟看起来似乎有些脑残。……脑残徒弟：“师傅，那个被你杀掉的GM死,https://www.bige7.com/book/7064/
炮灰婆婆的人生(快穿),本文从九月一号起日更九千同步连载文《炮灰的人生快穿》专栏可见，已肥，很肥可宰简介柳纭娘帮所有被炮灰的婆婆复仇虐渣，讨回公,https://www.bige7.com/book/14274/
海贼之狂徒路飞,手机阅读《海贼之狂徒路飞》无弹窗纯文字全文免费阅读这一年，路飞没有吃下恶魔果实……这一年，香克斯没有断臂……萨博没有出海,https://www.bige7.com/book/51959/
热血传奇之开局签到隐身戒指,　　传奇兄弟群号:758257743传奇骨灰级玩家秦恒，穿越到了乱世的高武古代，获得传奇游戏修炼系统。技能，装备，随机，,https://www.bige7.com/book/3385/
猎魔者的梦魇马车,我叫西格蒙，这是我穿越之后的第27天，也是第一天。暴风雪、山庄。27天只是轮回的同一天。寒冷饥饿，以及风雪中隐约的低吼。,https://www.bige7.com/book/7806/
正士不夺缘法轻财造地育侣建成道,如题。……本书为轻小说风格，修仙类题材。若是，看多了杀伐果断的主人公，见多了仙神霸圣祖帝尊……想试试不一样风格，这个故事,https://www.bige7.com/book/9104/
只有我能用召唤术,张泽穿越到平行世界，这里的人们依靠魔域打怪变强，来抵抗魔窟魔物的入侵。为了妹妹张泽进入魔域，取名罗刹，结果意外激活最强S,https://www.bige7.com/book/7142/
全球游戏：附带随身商店,【全球游戏开始】【第一轮，低级丧尸末日】【投放目标世界所有人类】【任务：存活三十天，并且累计一千积分】······苏长幸,https://www.bige7.com/book/15826/
龙王传说的天才科学家,江小枫莫名其妙的被卡车撞到了龙王传说的世界里，到底是人性的扭曲，还是道德的沦丧。他觉醒了潘多拉魔盒武魂，却完全无法使用，,https://www.bige7.com/book/27441/
丞相夫人是首富(穿书),【每日1821点间更新】纪云汐穿进一本书中，一不小心混成了首富。为了保全自家，决定挑只大腿当夫婿。她挑夫婿的眼光和其他人,https://www.bige7.com/book/12590/
开局在超神学院朝九晚五,【佛系咸鱼】【新书求支持】【日常轻松】周泽穿越到数万年前的超神世界，成为了一名天使，又获得了上下班打卡系统，每天只需上下,https://www.bige7.com/book/46130/
大国体育,腾盛得到了一个能购买“天赋”的系统，这些“天赋”都需要用“奥林匹克点数”来购买。但只有让种花家的各项体育运动在国际赛事上,https://www.bige7.com/book/8554/
联盟之我真不是高人,手机阅读《联盟之我真不是高人》无弹窗纯文字全文免费阅读Faker：单杀叶一修？你在开玩笑吧？什么人能单杀一座防御塔？我单,https://www.bige7.com/book/7890/
