name,introduction,url
我怎么会是魔,我一个正道栋梁，怎么会是魔？佛门：警惕魔头打佛祖牌……这一个西游的故事从【观音得道】开始。《我怎么会是魔》小说推荐：造化,https://www.bige7.com/book/7170/
我在武侠世界当老大,“飞雪连天射白鹿，笑书神侠倚碧鸳”金庸武侠世界充满了神秘色彩，不仅有凄美动人的爱情，更有豪云壮志的英雄。乔征宇作为一个武,https://www.bige7.com/book/45083/
傲世仙医,一个无法修行的药店学徒，最大的愿望就是赚最多的灵石，娶最动人的仙子。意外重踏修行之路，依靠炼丹之术，招蜂引蝶，傲世天下。,https://www.bige7.com/book/1314/
原来我是修仙大佬李念凡,仙道缥缈，仙踪难觅。李念凡以凡人之躯降临修仙世界，得知修仙无望后只想安稳度日。却不知——他收养的一条狗，因为看他写诗作画,https://www.bige7.com/book/25657/
洪荒：刚成金仙，收徒女娲,程跃穿越洪荒千年，终于修成金仙。看着准圣满地走，大罗不如狗的洪荒世界，再看看自己的修为，他决定苟着。谁知道刚突破竟然就收,https://www.bige7.com/book/32421/
仙武之巫法无天,小井的其他作品：倚天之崆峒门徒、倚天之生化王朝,https://www.bige7.com/book/54120/
暴君爹爹的团宠小娇包,内容介绍：各位书友要是觉得《暴君爹爹的团宠小娇包》还不错的话请不要忘记向您qq群和微博里的朋友推荐哦！各位书友要是觉得《,https://www.bige7.com/book/7798/
凌天剑神,　　武林第一天才凌尘，因宗门遭逢大变而修为尽废，武功全失。在命悬一线之际，凌尘偶得武林神功《凌天剑经》，废脉重修，从此通,https://www.bige7.com/book/638/
炮灰只想修仙,重活一世，顾盼惜凭借着对剧情的了解，护家族，救朋友，虐敌人，得所爱，打破剧情桎梏，再踏仙途。,https://www.bige7.com/book/28562/
亘古大帝,万年前，林焱一日称帝，镇压妖族大帝，却被兄弟背叛斩杀、夺走帝基，更背负人族叛徒的万年骂名。万年后，林焱重生，纵凡体，此一,https://www.bige7.com/book/5113/
我只想安静的做个苟道中人,　　“叮咚！”　　“欢迎使用全智能修真系统！”　　“您选择修炼锻骨决，系统开始为您修炼，系统检测缺少修炼丹药淬骨丹，请稍,https://www.bige7.com/book/3327/
修二代的日常随笔,主要内容如题，一个修二代的平淡日常。日常类平淡系修真文。重点是排雷。雷略多，请务必提高警惕以防触雷，如不幸踩雷请赶紧点小,https://www.bige7.com/book/34085/
从县令开始的签到生活,　　      这是一个江湖与朝堂并列的世界，沈钰穿越而来，成为百安县县令并身怀侠客签到系统。只要行侠仗义，就能签到获得,https://www.bige7.com/book/2541/
修行从渔夫开始,手机阅读《修行从渔夫开始》无弹窗纯文字全文免费阅读一位少年渔夫侥幸得到一本名为《波纹功》的水属性功法，侥幸踏上修行之路，,https://www.bige7.com/book/39886/
我有特别的修仙天赋,别人的修仙天赋：天灵根、特殊体质、重瞳、仙骨。陈静斋的修仙天赋：卡bug资质平平平的陈静斋，突然发现自己竟然也有修仙天赋,https://www.bige7.com/book/8301/
我有一个剑仙娘子,　　睁眼，是一间花烛红窗的洞房。　　眼前，婚床上，正端坐着一位凤冠霞帔的新娘，披着红盖头。　　赵戎揉了揉睡眼，我成了一个,https://www.bige7.com/book/1938/
扶刀行,手机阅读《扶刀行》无弹窗纯文字全文免费阅读（紧急通知！注意！注意！六年网文经验写手首次执笔江湖，绘写梦想诗篇。本书九十章,https://www.bige7.com/book/34009/
穿梭诸天之祖星升维计划,李飞在家中神秘失踪，相依为命的姐姐四处寻找无果。然而三天后，便在姐姐决定报官时，他又突然从卧室中走出，身穿古装，腰悬长剑,https://www.bige7.com/book/14272/
开局聊斋打铁十五年,国之将亡，必有妖孽。大唐天佑四年时，本应该覆灭的唐朝却不知为何得以续了两百年余年，可自此之后，妖魔纵生，天下大乱。自乱世,https://www.bige7.com/book/7482/
渡劫之王,王离是玄天宗的修士，带着他修行的师姐在渡劫失败之后脑子就出了些问题，以至于王离的修行之路也变得有点不太正常起来,https://www.bige7.com/book/2434/
我，元芳？,零零发：“元芳，你为什么总能立下奇功？”左舟：“因为我相信，这世上有跟我一样正直的人！”……陆小凤：“我查了很长时间的青,https://www.bige7.com/book/7061/
大兖至尊路,大兖、蒙济二强相争，天下大势，风起云涌！杜家三房独子杜雍遭遇一场莫名的刺杀，从而卷入连环风暴。世家的温情和血泪，朝堂的利,https://www.bige7.com/book/52344/
林辰薛灵韵,天灵大陆，武道为尊！强者可以遨游天地，威震山河，翻手苍穹覆灭，弹指日月变色！神州大地年轻的武学宗师林辰，意外带着一尊神秘,https://www.bige7.com/book/25718/
妖女出生青茅山,人是万物之灵，蛊是天地真精。而我，有一丝魔性。,https://www.bige7.com/book/44033/
长生，开局挖矿八年,修仙大航海时代，修仙者驰骋宇宙虚空，探索，捕捉，毁灭，奴役世界，亿万生灵匍匐在修仙者脚下。李青一头扎入这莽荒仙界，就挖了,https://www.bige7.com/book/14223/
重生之都市仙尊,当年，前女友骗光他所有财产，情敌打断他双腿，他流浪街头，无处安身。如今，他修仙归来，一人可挡千万敌！,https://www.bige7.com/book/1456/
异世封天,&ldquo;一撇寒芒先至，而后刀出如虹。仙亦如何，神亦如何，还不是任吾宰割&hellip;&hellip;！&rdqu,https://www.bige7.com/book/3052/
青蛇之法海佛缘,当裴文德回过神来的时候，他已经站在金山寺上、罗汉堂前，以“法海”之名俯看芸芸众生。曾经的恩怨情仇，曾经的因果轮回，似乎都,https://www.bige7.com/book/39927/
在洪荒悠闲种田的日子,身穿洪荒，根脚全无，除了种种田，养养花草，还能怎么办？都说洪荒世界，就算是头猪，时间久了都能成仙做祖。面对这危机四伏的荒,https://www.bige7.com/book/7097/
纸人成道,漆黑如墨的夜晚中，众多身穿花绿衣裳，面容失真，一脸诡异笑容的身影。它们抬着一顶大轿，脚踏坟土，身沾妖血，往精怪妖窟而去。,https://www.bige7.com/book/8909/
诸天旅人：从僵尸先生开始,行走在诸天世界中，只为证道永恒。每一个世界都留下了自己的足迹和传说。穿越世界行程，第一站，九叔僵尸系列。真男人就要拳拳到,https://www.bige7.com/book/32003/
修仙家族不能飘,　　一个普普通通的小职员，意外重生到了神秘浩瀚的修仙界，成为了一个金丹家族的一员。故事从天元修仙界，北海沧漓岛开始，这是,https://www.bige7.com/book/4759/
炮灰女配的科技修仙路,科研大佬宋离，熬夜猝死去，穿越成下场凄惨的炮灰女配苏晚月。原书中的苏晚月嚣老实好忽悠，一心把女主当好姐妹，为她怼女配，为,https://www.bige7.com/book/26986/
清微天尊,　　十洲之地，广袤无边。三岛隐觅，仙神难寻。浩渺碧落之上，无尽黄泉之下，又是何等所在？本书又名《清微道长平淡而又幸福的成,https://www.bige7.com/book/1756/
仙武：开局签到玄甲军,手机阅读《仙武：开局签到玄甲军》无弹窗纯文字全文免费阅读本是侯府子弟的苏哲，血战边关数年，军功累积至冠军侯之位，一门双侯,https://www.bige7.com/book/46849/
我在修仙界的科研岁月,张平来到修仙界，没法正常修仙的他只能另辟蹊径，正好他开启了能够让他开发大脑的系统，走上了一条科学修仙的道路。通过研究修仙,https://www.bige7.com/book/47731/
杨间,五浊恶世，地狱已空，厉鬼复苏，人间如狱。这个世界鬼出现了那么神又在哪里？求神救世，可世上已无神，只有鬼。——————群：,https://www.bige7.com/book/42211/
小祖宗教你们做人,内容介绍：秦家归隐山林的老太爷和老太太回来了，还带回来一个三岁半的小女娃！白嫩嫩粉嘟嘟娇滴滴！秦家人带着她出去总能吸引一,https://www.bige7.com/book/27626/
一天一个强化点,俗人修仙，没挂怎么行！重生修仙界，一天一个强化点。,https://www.bige7.com/book/7108/
