name,introduction,url
苏寒萧雨然,妖龙古帝苏寒，曾经执掌圣域，镇压一世，为银河星系之巅！却因融合各大修为层次，走火入魔，形神俱灭。手下叛变，挚爱沉睡，好友,https://www.bige7.com/book/27024/
姜笙司夜爵,一场算计让姜笙毁掉清白，被迫离家，六年后带着仨小只回国打脸虐渣。谁知仨小只比她更有手段，找了个亲爹靠山帮她，还把亲爹拐回,https://www.bige7.com/book/25654/
百花大帝,1228812288天元历1214年，天元王朝在经历了数百年的繁荣后，终于是盛极必衰走向了衰亡，其时天下大乱群雄崛起，所,https://www.bige7.com/book/23393/
范清遥百里凤鸣,那一世，范清遥是名门之女，神医传人，医术精湛卓荦超伦。可她却毒害逆党忠良，认贼作父，威胁至亲为他谋权夺得皇位。外祖一家死,https://www.bige7.com/book/26510/
猎妖高校,手机阅读《猎妖高校》无弹窗纯文字全文免费阅读高考结束后，郑清没有去心仪已久的帝都大学，而是背着行李，抱着狐狸，循着一纸通,https://www.bige7.com/book/6976/
狂龙归来江枫宫映雪,入赘三年，所有人都以为可以把我踩在脚下，三年后，考核结束，我为世界第一大神秘组织龙门之主！执子之手，许你一世荣光,https://www.bige7.com/book/19498/
陛下在我家当赘婿那些年,乔清月穿越了，一睁眼就落下个晴天霹雳。便宜娘亲抹着眼泪告诉她：闺女啊，你还差三天就十七岁了，要是再不嫁出去，咱们娘俩都要,https://www.bige7.com/book/59589/
林炎柳幕妍_,豪门大少，华国首富，各国公主拼命想嫁的男人，回到家却被岳母当保姆使唤。,https://www.bige7.com/book/5209/
斗罗之开局签到帝龙剑,已有作品《斗罗之开局签到龙神武魂》。踩唐三，怼大师，杀唐昊，抱神女。沐辰穿越到斗罗大陆，觉醒了系统，但是这个系统非要沐辰,https://www.bige7.com/book/57474/
我居然认得上古神文,"穿越后的钟文被一个小萝莉捡回了只有女弟子的飘花宫；
这个世界最顶尖的功法、灵技、知识统统来自上古；
于是，研究看不懂的上",https://www.bige7.com/book/2848/
盛世嫡女逆天宠范清遥百里凤鸣,那一世，范清遥是名门之女，神医传人，医术精湛卓荦超伦。可她却毒害逆党忠良，认贼作父，威胁至亲为他谋权夺得皇位。外祖一家死,https://www.bige7.com/book/22293/
最佳豪门女婿,国之利刃杨潇重伤隐匿都市，巧合之下成为上门女婿。曾经，我无能为力，因我而让你饱受耻辱。如今，我王者归来，定让你享受世间繁,https://www.bige7.com/book/36864/
轮回乐园：我在天启当剑仙,轮回乐园同人文平淡版本简介：这是一个剑修在天启乐园快意恩仇、荡气回肠的故事……热血版本简介：主角叶长青重生到天启乐园，在,https://www.bige7.com/book/54471/
黎少的独宠爱恋顾蔓蔓黎瑾泽,20岁生日的晚上，她被双胞胎亲姐姐送上了一个陌生男人的床。未婚先孕、被竹马主动解除婚约，又被赶出家门的她成为了整个帝都的,https://www.bige7.com/book/17452/
诸界之深渊恶魔,　　诞生于无底深渊，舍弃过往一切。于杀戮与毁灭之中，带着血与火登顶至高王座！吾是腐化世界之死疫君王，吾是焚烧万物引导终末,https://www.bige7.com/book/2003/
斗牛胜佛大师兄他成佛了,1990年的一个夜晚，天空上出现风雨雷电交加的时刻。电闪雷鸣，风在吼，云在飘。看山川五岳它也正在发怒。在人间被生活所被迫,https://www.bige7.com/book/35808/
剑尊,《剑尊》是叶玄叶灵精心创作的其他类型，快眼看书实时更新剑尊最新章节并且提供无弹窗阅读，书友所发表的剑尊评论，并不代表快眼,https://www.bige7.com/book/27017/
李安安褚逸辰,李安安在养父母家受尽欺辱迫害，四年后她带着三个可爱的儿女华丽归来，车模冠军，美食博主，总裁千金，一个个的头衔闪瞎人眼球，,https://www.bige7.com/book/26198/
逆天萌兽:绝世妖女倾天下,她被亲姐姐挖去凤骨，夺去天赋，像条狗一样被抛下魔涧！可万万没想到她没死成，还成了魔涧怪物们宠在掌心的小妖女！魔涧怪物们：,https://www.bige7.com/book/52660/
超级医婿叶天苏轻语,他是苏家的上门女婿，没钱没权，沦为医馆打杂，丈母娘百般刁难。然而丈母娘做梦都想不到，有一日，各方大佬齐齐来拜，抢着要给这,https://www.bige7.com/book/16653/
开局顿悟混沌体叶大刀,萧云的系统只会一个功能——顿悟！体质平凡？顿悟混沌体！功法难修？顿悟圆满境界！神通难修？顿悟圆满境界！没有什么是顿悟不能,https://www.bige7.com/book/31906/
我的功法全靠捡林辰寒烟夏凝月,【宿主捡到青龙血脉10点】【宿主捡到太古残篇心法：混沌五灵诀。】在绝世美女身上捡到最强符文？路过一个洞穴都能捡到绝世功法,https://www.bige7.com/book/20103/
术士入侵火影,白羽作为巫师世界的二次穿越者，来到了火影世界。灵魂中的「古音多术士之书」，让他看到了成为高级巫师的可能。威力强大的豪火球,https://www.bige7.com/book/49982/
从姐姐开始的娱乐,神仙姐姐白依依，以身为饵。单纯的杨云不幸落入陷阱之中，陷阱犹如沼泽，越是挣扎陷得越深。这片沼泽中的泥……既冰冷而又无情…,https://www.bige7.com/book/16796/
赵绮晴傅西深,三年的暗恋，五年的婚姻，八年的喜欢。赵绮晴嫁给了她这辈子最爱的男人ampampmdashampampmdash顾辞远。可,https://www.bige7.com/book/50721/
顶级大佬的心尖宠,“老公，快来看，电视上这个男人长得和你一样帅！”在电视上看见和自己老公一模一样帅的男人莫宛溪非常惊讶。贺煜城扶额，“你确,https://www.bige7.com/book/47730/
陆沉周若雪婉儿,陆沉周若雪婉儿小说介绍：获混沌宝物，修九龙归一。斩日月星河，诛万古妖魔。陆沉一出风云动，诸天万界鬼神惊。醉卧鸾凤美人笑，,https://www.bige7.com/book/11960/
神医娘亲带崽行凶,一次意外，21世纪全能军医变成古代小农妇。爹娘早死，兄嫂不善，恶人欺压，爷奶还想拿她去换钱，吃了上顿没下顿，还有两个小包,https://www.bige7.com/book/21818/
低调为王,　　明面上，他是王府的纨绔二公子，遭人白眼，沦为笑柄！暗地里，他是地下世界中的王者，一声令出，莫敢不从！我是陆寻，没有人,https://www.bige7.com/book/3355/
在金榜木叶刷榜的日子,简介：穿越火影重生成为白，却遇到金榜降临忍界，于是白开始了霸榜的日子。血脉榜？我知道该怎么选择才能得到森罗万象之资，然后,https://www.bige7.com/book/12422/
大明第一狂士,内容简介：大明万历三十五年，一个满腹权谋的狠人魂穿县丞之子，他以现代权谋之术惩治贪官，连破奇案；他以现代官场纵横之术，威,https://www.bige7.com/book/15944/
悍卒斩天,戏子门前客不绝，将军坟前蒿草深。美人要看风和雨，枯骨坟上起楼台。才子俊杰楼上豪情泼墨，无名小卒楼下血染浊泪。悍卒一怒横刀,https://www.bige7.com/book/36033/
斗罗：我千仞雪永远爱老妈,一朝穿越到斗罗大陆，成了大反派比比东的女儿千仞雪？没办法了，我必须得拯救即将悲剧的亲妈比比东。,https://www.bige7.com/book/35486/
万古武帝林云,万古武帝林云小说介绍：一觉醒来，林云竟与后母同睡一床，被年长6岁的后母压在身下……万古武帝林云小说别名：万古武帝。,https://www.bige7.com/book/15636/
九天神帝,九天路上谁为尊，一遇神帝万法空。上古天域，诸神逆战，神帝陨落伴九天玄石重生，以逆天资质修无上法门，铸混沌金身，力破苍穹，,https://www.bige7.com/book/29046/
狐妖之望君归,两情相悦，却都为情所困。【他】自以为能瞒天过海，独自一人承担一切，殊不知【她】早已知晓。知道了爱人所承受的痛苦，即使是算,https://www.bige7.com/book/26968/
武逆焚天,"  神奇的大陆，因神兽而支离破碎，又因神兽而得以重生！！
  各方势力追寻多年的重宝出世，一场腥风血雨正在酝酿……
  ",https://www.bige7.com/book/3167/
奶爸逆袭记叶凡董玥君,兵王重生，发现自己拥有另外一个废物人生。妻子被逼离婚，父母被迫还债，女儿饿得瘦骨如柴。他发誓改变命运，用兵王的荣耀，守护,https://www.bige7.com/book/17919/
丁宁夏晴天,丁宁做梦也想不到，自己会被师傅赶下山……,https://www.bige7.com/book/31175/
开局获得不死天功,洛天歌穿越成为荒古世家麒麟神子，却因剥离族人神骨，被废去修为，打入镇魔神狱，永世不得翻身。万物本源提炼系统开启，开局便获,https://www.bige7.com/book/38524/
都市小说主角叫江枫宫映雪,入赘三年，所有人都以为可以把我踩在脚下，三年后，考核结束，我为世界第一大神秘组织龙门之主！执子之手，许你一世荣光,https://www.bige7.com/book/19499/
帝少追击令，天才萌宝亿万妻,第一次见面，她在20岁那晚遭受双胞胎亲姐姐算计，失去清白，而她，连他的脸都未曾看清。三年后她携萌宝归来，斗心机婊白莲花，,https://www.bige7.com/book/25733/
一剑独尊叶玄,生死看淡，不服就干。各位书友要是觉得《一剑独尊叶玄》还不错的话请不要忘记向您QQ群和微博里的朋友推荐哦！,https://www.bige7.com/book/4652/
超级狂婿江枫宫映雪,入赘三年，所有人都以为可以把我踩在脚下，三年后，考核结束，我为世界第一大神秘组织龙门之主！执子之手，许你一世荣光,https://www.bige7.com/book/19591/
一世豪婿林炎柳慕妍,豪门大少，华国首富，各国公主拼命想嫁的男人，回到家却被岳母当保姆使唤。,https://www.bige7.com/book/19182/
萧云席春雨,萧云的系统只会一个功能——顿悟！体质平凡？顿悟混沌体！功法难修？顿悟圆满境界！神通难修？顿悟圆满境界！没有什么是顿悟不能,https://www.bige7.com/book/25271/
